E,eV	I,A
14342,2	1,08079E-10
14359,6	1,15929E-10
14376,9	1,11441E-10
14394,2	1,12765E-10
14411,5	1,18386E-10
14428,8	1,18047E-10
14446,2	1,241E-10
14463,5	1,2134E-10
14480,8	1,316E-10
14498,1	1,32292E-10
14515,4	1,3962E-10
14532,8	1,46792E-10
14550,1	1,39027E-10
14567,4	1,40638E-10
14584,7	1,34244E-10
14602,1	1,449E-10
14619,4	1,55479E-10
14636,7	1,53119E-10
14654	1,48231E-10
14671,3	1,43372E-10
14688,7	1,34387E-10
14706	1,27485E-10
14723,3	1,26623E-10
14740,6	1,22783E-10
14757,9	1,05989E-10
14775,3	1,07821E-10
14792,6	1,01971E-10
14809,9	9,1136E-11
14827,2	9,6171E-11
14844,6	8,5049E-11
14861,9	7,9189E-11
14879,2	7,9804E-11
14896,5	7,4654E-11
14913,8	7,7832E-11
14931,2	7,3402E-11
14948,5	6,5757E-11
14965,8	6,6622E-11
14983,1	6,6878E-11
15000,4	7,0164E-11
15017,8	6,1014E-11
15035,1	5,5568E-11
15052,4	6,2468E-11
15069,7	6,5866E-11
15087,1	5,9853E-11
15104,4	5,9803E-11
15121,7	5,4503E-11
15139	6,0031E-11
15156,3	5,2373E-11
15173,7	5,5857E-11
15191	5,4196E-11
15208,3	4,8097E-11
15225,6	4,4508E-11
15243	4,9586E-11
15260,3	4,5221E-11
15277,6	3,8433E-11
15294,9	4,483E-11
15312,2	4,5283E-11
15329,6	4,128E-11
15346,9	4,5566E-11
15364,2	4,3051E-11
15381,5	4,1494E-11
15398,8	4,4005E-11
15416,2	4,7274E-11
15433,5	3,5588E-11
15450,8	4,0783E-11
15468,1	4,0572E-11
15485,5	3,6147E-11
15502,8	4,4225E-11
15520,1	3,7845E-11
15537,4	3,4289E-11
15554,7	3,1555E-11
15572,1	3,0728E-11
15589,4	3,2733E-11
15606,7	3,851E-11
15624	3,8366E-11
15641,3	3,2854E-11
15658,7	2,6677E-11
15676	2,3281E-11
15693,3	2,6539E-11
15710,6	2,3785E-11
15728	2,2898E-11
15745,3	2,3841E-11
15762,6	2,5787E-11
15779,9	2,5795E-11
15797,2	2,9437E-11
15814,6	2,1262E-11
15831,9	2,0005E-11
15849,2	1,84536E-11
15866,5	1,30485E-11
15883,9	1,19694E-11
15901,2	1,10578E-11
15918,5	1,4083E-11
15935,8	9,5398E-12
15953,1	7,7551E-12
15970,5	1,16551E-11
15987,8	7,9782E-12
16005,1	5,4243E-12
16022,4	9,558E-12
16039,7	1,1002E-11
16057,1	7,2561E-12
16074,4	6,5054E-12
16091,7	6,2718E-12
16109	4,7754E-12
16126,4	5,3849E-12
16143,7	5,63E-12
16161	4,2932E-12
16178,3	1,6153E-12
16195,6	4,1938E-12
16213	1,885E-12
16230,3	2,9549E-12
16247,6	2,0659E-12
16264,9	1,9848E-12
16282,2	1,9731E-12
16299,6	1,6402E-12
16316,9	1,4134E-12
16334,2	1,6413E-12
16351,5	1,7669E-12
16368,9	1,4426E-12
16386,2	1,3162E-12
16403,5	1,0943E-12
16420,8	4,803E-13
16438,1	4,974E-13
16455,5	9,508E-13
16472,8	5,191E-13
16490,1	8,295E-13
16507,4	4,328E-13
16524,7	1,581E-13
16542,1	4,212E-13
16559,4	3E-13
16576,7	1,1946E-12
16594	4,687E-13
16611,4	5,871E-13
16628,7	4,722E-13
16646	-1,549E-13
16663,3	5,062E-13
16680,6	5,349E-13
16698	4,44E-14
16715,3	3,228E-13
16732,6	9,04E-14
16749,9	6,949E-13
16767,3	1,883E-13
16784,6	3,26E-13
16801,9	3,949E-13
16819,2	-7,003E-13
16836,5	-1,484E-13
16853,9	4,639E-13
16871,2	3,997E-13
16888,5	1,244E-13
16905,8	6,449E-13
16923,1	7,01E-13
16940,5	2,075E-13
16957,8	3,121E-13
