Energy,keV spectrum_int fitted_spectrum  get_elastic_partAu get_inelastic_partAu get_elastic_partPd get_inelastic_partPd  
2.4200e-01 8.089e-04 1.977e-05 3.946e-06 2.284e-87 1.686e-05 2.217e-44
2.4400e-01 7.283e-04 1.978e-05 3.947e-06 5.842e-87 1.687e-05 3.545e-44
2.4600e-01 6.274e-04 1.978e-05 3.948e-06 1.477e-86 1.687e-05 5.635e-44
2.4800e-01 5.064e-04 1.979e-05 3.949e-06 3.692e-86 1.688e-05 8.908e-44
2.5000e-01 3.653e-04 1.980e-05 3.950e-06 9.129e-86 1.688e-05 1.400e-43
2.5200e-01 2.040e-04 1.980e-05 3.951e-06 2.233e-85 1.689e-05 2.190e-43
2.5400e-01 2.252e-05 1.981e-05 3.952e-06 5.405e-85 1.689e-05 3.406e-43
2.5600e-01 -1.791e-04 1.981e-05 3.954e-06 1.295e-84 1.690e-05 5.270e-43
2.5800e-01 -2.739e-04 1.982e-05 3.955e-06 3.069e-84 1.690e-05 8.114e-43
2.6000e-01 -2.164e-04 1.982e-05 3.956e-06 7.206e-84 1.691e-05 1.243e-42
2.6200e-01 -8.502e-05 1.983e-05 3.957e-06 1.675e-83 1.691e-05 1.895e-42
2.6400e-01 0.000e+00 1.984e-05 3.958e-06 3.857e-83 1.692e-05 2.874e-42
2.6600e-01 0.000e+00 1.984e-05 3.959e-06 8.796e-83 1.692e-05 4.340e-42
2.6800e-01 0.000e+00 1.985e-05 3.960e-06 1.988e-82 1.693e-05 6.523e-42
2.7000e-01 0.000e+00 1.985e-05 3.961e-06 4.451e-82 1.693e-05 9.759e-42
2.7200e-01 0.000e+00 1.986e-05 3.962e-06 9.880e-82 1.694e-05 1.454e-41
2.7400e-01 0.000e+00 1.986e-05 3.964e-06 2.174e-81 1.694e-05 2.156e-41
2.7600e-01 0.000e+00 1.987e-05 3.965e-06 4.742e-81 1.695e-05 3.184e-41
2.7800e-01 0.000e+00 1.988e-05 3.966e-06 1.026e-80 1.695e-05 4.681e-41
2.8000e-01 0.000e+00 1.988e-05 3.967e-06 2.200e-80 1.696e-05 6.855e-41
2.8200e-01 0.000e+00 1.989e-05 3.968e-06 4.682e-80 1.696e-05 9.998e-41
2.8400e-01 0.000e+00 1.989e-05 3.969e-06 9.884e-80 1.697e-05 1.452e-40
2.8600e-01 0.000e+00 1.990e-05 3.970e-06 2.070e-79 1.697e-05 2.102e-40
2.8800e-01 0.000e+00 1.990e-05 3.971e-06 4.302e-79 1.698e-05 3.029e-40
2.9000e-01 0.000e+00 1.991e-05 3.972e-06 8.874e-79 1.698e-05 4.350e-40
2.9200e-01 0.000e+00 1.992e-05 3.974e-06 1.817e-78 1.699e-05 6.223e-40
2.9400e-01 0.000e+00 1.992e-05 3.975e-06 3.693e-78 1.699e-05 8.870e-40
2.9600e-01 0.000e+00 1.993e-05 3.976e-06 7.451e-78 1.700e-05 1.260e-39
2.9800e-01 0.000e+00 1.993e-05 3.977e-06 1.493e-77 1.700e-05 1.783e-39
3.0000e-01 0.000e+00 1.994e-05 3.978e-06 2.970e-77 1.701e-05 2.514e-39
3.0200e-01 0.000e+00 1.994e-05 3.979e-06 5.870e-77 1.701e-05 3.534e-39
3.0400e-01 0.000e+00 1.995e-05 3.980e-06 1.152e-76 1.702e-05 4.950e-39
3.0600e-01 0.000e+00 1.996e-05 3.981e-06 2.247e-76 1.702e-05 6.911e-39
3.0800e-01 0.000e+00 1.996e-05 3.983e-06 4.352e-76 1.703e-05 9.618e-39
3.1000e-01 0.000e+00 1.997e-05 3.984e-06 8.377e-76 1.703e-05 1.334e-38
3.1200e-01 0.000e+00 1.997e-05 3.985e-06 1.602e-75 1.704e-05 1.845e-38
3.1400e-01 0.000e+00 1.998e-05 3.986e-06 3.046e-75 1.704e-05 2.543e-38
3.1600e-01 0.000e+00 1.999e-05 3.987e-06 5.755e-75 1.705e-05 3.495e-38
3.1800e-01 -8.502e-05 1.999e-05 3.988e-06 1.081e-74 1.705e-05 4.789e-38
3.2000e-01 -2.164e-04 2.000e-05 3.989e-06 2.018e-74 1.706e-05 6.543e-38
3.2200e-01 -3.164e-04 2.000e-05 3.990e-06 3.745e-74 1.706e-05 8.913e-38
3.2400e-01 -3.298e-04 2.001e-05 3.992e-06 6.911e-74 1.707e-05 1.211e-37
3.2600e-01 -2.652e-04 2.001e-05 3.993e-06 1.268e-73 1.707e-05 1.640e-37
3.2800e-01 -4.570e-05 2.002e-05 3.994e-06 2.314e-73 1.708e-05 2.215e-37
3.3000e-01 2.815e-04 2.003e-05 3.995e-06 4.201e-73 1.708e-05 2.983e-37
3.3200e-01 6.301e-04 2.003e-05 3.996e-06 7.583e-73 1.709e-05 4.008e-37
3.3400e-01 9.368e-04 2.004e-05 3.997e-06 1.362e-72 1.709e-05 5.370e-37
3.3600e-01 1.201e-03 2.004e-05 3.998e-06 2.432e-72 1.710e-05 7.175e-37
3.3800e-01 1.254e-03 2.005e-05 3.999e-06 4.322e-72 1.710e-05 9.564e-37
3.4000e-01 1.172e-03 2.005e-05 4.001e-06 7.642e-72 1.711e-05 1.272e-36
3.4200e-01 1.196e-03 2.006e-05 4.002e-06 1.344e-71 1.711e-05 1.686e-36
3.4400e-01 1.482e-03 2.007e-05 4.003e-06 2.353e-71 1.712e-05 2.231e-36
3.4600e-01 1.940e-03 2.007e-05 4.004e-06 4.100e-71 1.712e-05 2.944e-36
3.4800e-01 2.315e-03 2.008e-05 4.005e-06 7.108e-71 1.713e-05 3.876e-36
3.5000e-01 2.608e-03 2.008e-05 4.006e-06 1.227e-70 1.713e-05 5.091e-36
3.5200e-01 2.819e-03 2.009e-05 4.007e-06 2.107e-70 1.713e-05 6.671e-36
3.5400e-01 2.948e-03 2.009e-05 4.008e-06 3.602e-70 1.714e-05 8.721e-36
3.5600e-01 2.994e-03 2.010e-05 4.010e-06 6.130e-70 1.714e-05 1.138e-35
3.5800e-01 2.788e-03 2.011e-05 4.011e-06 1.039e-69 1.715e-05 1.481e-35
3.6000e-01 2.407e-03 2.011e-05 4.012e-06 1.752e-69 1.715e-05 1.923e-35
3.6200e-01 2.091e-03 2.012e-05 4.013e-06 2.943e-69 1.716e-05 2.492e-35
3.6400e-01 1.997e-03 2.012e-05 4.014e-06 4.922e-69 1.716e-05 3.222e-35
3.6600e-01 2.035e-03 2.013e-05 4.015e-06 8.197e-69 1.717e-05 4.158e-35
3.6800e-01 2.077e-03 2.014e-05 4.016e-06 1.360e-68 1.717e-05 5.354e-35
3.7000e-01 2.169e-03 2.014e-05 4.018e-06 2.246e-68 1.718e-05 6.880e-35
3.7200e-01 2.296e-03 2.015e-05 4.019e-06 3.694e-68 1.718e-05 8.823e-35
3.7400e-01 2.424e-03 2.015e-05 4.020e-06 6.053e-68 1.719e-05 1.129e-34
3.7600e-01 2.561e-03 2.016e-05 4.021e-06 9.878e-68 1.719e-05 1.442e-34
3.7800e-01 2.588e-03 2.016e-05 4.022e-06 1.606e-67 1.720e-05 1.839e-34
3.8000e-01 2.469e-03 2.017e-05 4.023e-06 2.601e-67 1.720e-05 2.340e-34
3.8200e-01 2.227e-03 2.018e-05 4.024e-06 4.196e-67 1.721e-05 2.972e-34
3.8400e-01 1.905e-03 2.018e-05 4.025e-06 6.744e-67 1.721e-05 3.767e-34
3.8600e-01 1.502e-03 2.019e-05 4.027e-06 1.080e-66 1.722e-05 4.766e-34
3.8800e-01 1.272e-03 2.019e-05 4.028e-06 1.723e-66 1.722e-05 6.020e-34
3.9000e-01 1.306e-03 2.020e-05 4.029e-06 2.739e-66 1.723e-05 7.590e-34
3.9200e-01 1.405e-03 2.021e-05 4.030e-06 4.339e-66 1.724e-05 9.551e-34
3.9400e-01 1.306e-03 2.021e-05 4.031e-06 6.850e-66 1.724e-05 1.200e-33
3.9600e-01 9.672e-04 2.022e-05 4.032e-06 1.078e-65 1.725e-05 1.505e-33
3.9800e-01 7.632e-04 2.022e-05 4.033e-06 1.690e-65 1.725e-05 1.884e-33
4.0000e-01 6.468e-04 2.023e-05 4.035e-06 2.640e-65 1.726e-05 2.355e-33
4.0200e-01 5.317e-04 2.024e-05 4.036e-06 4.111e-65 1.726e-05 2.938e-33
4.0400e-01 3.544e-04 2.024e-05 4.037e-06 6.382e-65 1.727e-05 3.660e-33
