E,eV	I,A
11481,7	2,4126E-11
11506,1	2,505E-11
11530,4	2,4596E-11
11554,7	2,7037E-11
11579	2,6513E-11
11603,3	2,6344E-11
11627,6	2,596E-11
11651,9	2,6093E-11
11676,1	2,7018E-11
11700,5	2,7155E-11
11724,8	2,7939E-11
11749,1	2,6904E-11
11773,4	2,8256E-11
11797,7	2,8023E-11
11822	2,8498E-11
11846,3	2,763E-11
11870,5	2,8936E-11
11894,8	2,8569E-11
11919,2	2,8137E-11
11943,5	2,8249E-11
11967,8	2,9792E-11
11992	2,8986E-11
12016,4	2,9861E-11
12040,7	2,9688E-11
12064,9	2,8715E-11
12089,2	3,0318E-11
12113,6	2,952E-11
12137,9	3,0308E-11
12162,2	3,0947E-11
12186,5	3,213E-11
12210,8	3,1976E-11
12235,1	3,0494E-11
12259,4	3,0829E-11
12283,6	3,0861E-11
12308	3,2489E-11
12332,3	3,2912E-11
12356,6	3,2363E-11
12380,9	3,1985E-11
12405,2	3,1524E-11
12429,5	3,0754E-11
12453,8	3,2101E-11
12478	3,2419E-11
12502,3	3,5094E-11
12526,7	3,2867E-11
12551	3,2478E-11
12575,3	3,3381E-11
12599,6	3,2735E-11
12623,9	3,3544E-11
12648,2	3,4147E-11
12672,5	3,4512E-11
12696,7	3,4309E-11
12721,1	3,4046E-11
12745,4	3,4288E-11
12769,7	3,3879E-11
12794	3,3628E-11
12818,3	3,6456E-11
12842,6	3,6506E-11
12866,9	3,5224E-11
12891,1	3,5648E-11
12915,5	3,6698E-11
12939,8	3,706E-11
12964,1	3,6416E-11
12988,4	3,6473E-11
13012,7	3,7569E-11
13037	3,6287E-11
13061,3	3,7402E-11
13085,5	3,819E-11
13109,8	3,8053E-11
13134,2	3,9061E-11
13158,5	4,0126E-11
13182,8	3,9792E-11
13207,1	3,9712E-11
13231,4	3,9777E-11
13255,7	4,0888E-11
13280	3,828E-11
13304,2	3,8575E-11
13328,6	4,0566E-11
13352,9	3,9217E-11
13377,2	4,13E-11
13401,5	4,1214E-11
13425,8	4,0056E-11
13450,1	4,0147E-11
13474,4	4,209E-11
13498,6	4,2363E-11
13523	4,2199E-11
13547,3	4,3261E-11
13571,6	4,3063E-11
13595,9	4,3309E-11
13620,2	4,2104E-11
13644,5	4,2078E-11
13668,8	4,2396E-11
13693	4,2784E-11
13717,3	4,5825E-11
13741,7	4,6673E-11
13766	4,5264E-11
13790,3	4,327E-11
13814,6	4,5075E-11
13838,9	4,4329E-11
13863,2	4,4177E-11
13887,5	4,5379E-11
13911,7	4,4807E-11
13936,1	4,5052E-11
13960,4	4,7711E-11
13984,7	4,68E-11
14009	4,793E-11
14033,3	4,8985E-11
14057,6	4,8363E-11
14081,9	4,803E-11
14106,1	4,8374E-11
14130,5	4,8849E-11
14154,8	4,9306E-11
14179,1	4,9728E-11
14203,4	4,9398E-11
14227,7	5,0871E-11
14252	5,1484E-11
14276,3	5,0293E-11
14300,6	4,8555E-11
14324,8	5,179E-11
14349,2	5,0792E-11
14373,5	5,1159E-11
14397,8	5,1417E-11
14422,1	5,2805E-11
14446,4	5,2313E-11
14470,7	5,336E-11
14495	5,2546E-11
14519,2	5,1594E-11
14543,6	5,2685E-11
14567,9	5,3611E-11
14592,2	5,4344E-11
14616,5	5,3383E-11
14640,8	5,479E-11
14665,1	5,3665E-11
14689,4	5,4995E-11
14713,6	5,4385E-11
14738	5,4159E-11
14762,3	5,7295E-11
14786,6	5,7255E-11
14810,9	5,7918E-11
14835,2	5,6526E-11
14859,5	5,6316E-11
14883,8	5,6138E-11
14908,1	5,8898E-11
14932,3	5,6896E-11
14956,7	5,7397E-11
14981	5,6865E-11
15005,3	5,9153E-11
15029,6	5,8621E-11
15053,9	6,1002E-11
15078,2	5,8377E-11
15102,5	5,9888E-11
15126,7	5,949E-11
15151,1	5,8415E-11
15175,4	6,153E-11
15199,7	6,0588E-11
15224	6,103E-11
15248,3	6,1275E-11
15272,6	6,1897E-11
15296,9	6,0092E-11
15321,2	6,0562E-11
15345,5	6,1203E-11
15369,8	6,1826E-11
15394,1	6,337E-11
15418,4	6,209E-11
15442,7	6,2241E-11
15467	6,1281E-11
15491,3	6,4907E-11
15515,6	6,4373E-11
15539,8	6,6636E-11
15564,2	6,7003E-11
15588,5	6,7369E-11
15612,8	6,4487E-11
15637,1	6,742E-11
15661,4	6,5812E-11
15685,7	6,5023E-11
15710	6,5954E-11
15734,2	6,7384E-11
15758,6	6,5984E-11
15782,9	6,7145E-11
15807,2	6,9986E-11
15831,5	7,0336E-11
15855,8	6,7522E-11
15880,1	6,5616E-11
15904,4	6,5599E-11
15928,7	6,7586E-11
15953	6,9916E-11
15977,3	6,7776E-11
16001,6	7,1712E-11
16025,9	7,1693E-11
16050,2	7,2701E-11
16074,5	7,2091E-11
16098,8	7,2417E-11
16123	7,2978E-11
16147,3	7,2162E-11
16171,7	7,2235E-11
16195,9	7,3106E-11
16220,3	7,3287E-11
16244,6	7,1246E-11
16268,9	7,1699E-11
16293,2	7,2954E-11
16317,5	7,3048E-11
16341,8	7,6427E-11
16366,1	7,4482E-11
16390,4	7,3322E-11
16414,7	7,6212E-11
16439	7,5341E-11
16463,3	7,5837E-11
16487,6	7,4583E-11
16511,9	7,8887E-11
16536,1	7,8042E-11
16560,5	7,7341E-11
16584,8	7,6236E-11
16609	7,5331E-11
16633,4	7,7897E-11
16657,7	7,9042E-11
16682	7,8667E-11
16706,3	8,0176E-11
16730,6	8,2126E-11
16754,9	8,0471E-11
16779,2	7,9434E-11
16803,5	7,9133E-11
16827,8	8,2216E-11
16852	8,0529E-11
16876,4	8,0997E-11
16900,7	8,2299E-11
16924,9	8,0379E-11
16949,2	8,3552E-11
16973,6	8,3821E-11
16997,8	8,1784E-11
17022,1	7,956E-11
17046,5	8,0594E-11
17070,8	8,1556E-11
17095,1	8,1778E-11
17119,4	8,299E-11
17143,7	8,6793E-11
17168	8,294E-11
17192,3	8,0236E-11
17216,6	8,3537E-11
17240,9	8,382E-11
17265,2	8,4632E-11
17289,5	8,679E-11
17313,8	8,6478E-11
17338	8,7377E-11
17362,3	8,557E-11
17386,7	8,8003E-11
17410,9	8,7281E-11
17435,2	8,5882E-11
17459,6	8,9542E-11
17483,9	8,6277E-11
17508,2	8,8807E-11
17532,5	8,876E-11
17556,8	8,5613E-11
17581,1	8,776E-11
17605,4	8,7128E-11
17629,7	8,6804E-11
17654	8,8894E-11
17678,3	8,8929E-11
17702,6	8,8953E-11
17726,9	8,8969E-11
17751,1	8,9491E-11
17775,5	8,9701E-11
17799,8	8,6734E-11
17824	9,1252E-11
17848,3	9,1776E-11
17872,7	9,2147E-11
17897	9,1208E-11
17921,3	9,1977E-11
17945,6	9,135E-11
17969,9	9,4284E-11
17994,2	9,0782E-11
18018,5	9,1613E-11
18042,8	9,3664E-11
18067,1	9,3411E-11
18091,4	9,4982E-11
18115,7	9,5677E-11
18140	9,2979E-11
18164,2	9,1338E-11
18188,6	9,4982E-11
18212,9	9,2502E-11
18237,1	9,8294E-11
18261,4	9,8521E-11
18285,8	9,6421E-11
18310,1	9,6284E-11
18334,4	9,5383E-11
18358,7	9,944E-11
18383	9,8269E-11
18407,3	9,6924E-11
18431,6	9,8249E-11
18455,9	9,4714E-11
18480,2	9,6567E-11
18504,5	9,6544E-11
18528,8	9,6911E-11
18553	9,9368E-11
18577,3	9,6739E-11
18601,7	9,6975E-11
18625,9	9,897E-11
18650,2	9,8909E-11
18674,5	9,9429E-11
18698,9	9,9088E-11
18723,2	9,6888E-11
18747,5	9,7747E-11
18771,8	1,0051E-10
18796,1	1,02316E-10
18820,4	1,01791E-10
18844,7	9,9415E-11
18869	1,01458E-10
18893,3	9,6734E-11
18917,6	9,7513E-11
18941,9	9,98E-11
18966,1	1,00263E-10
18990,5	1,02128E-10
19014,8	1,03351E-10
19039	1,03112E-10
19063,3	1,00867E-10
19087,7	1,01372E-10
19112	1,04566E-10
19136,3	9,9903E-11
19160,6	1,02612E-10
19184,9	1,01068E-10
19209,2	1,03302E-10
19233,5	1,03302E-10
19257,8	1,02663E-10
19282,1	1,02397E-10
19306,4	1,0577E-10
19330,7	1,04694E-10
19355	1,05237E-10
19379,2	1,08773E-10
19403,6	1,05372E-10
19427,9	1,03775E-10
19452,2	1,03793E-10
19476,5	1,00862E-10
19500,8	1,04749E-10
19525,1	1,06969E-10
19549,4	1,07477E-10
19573,7	1,06247E-10
19598	1,05791E-10
19622,3	1,0503E-10
19646,6	1,06884E-10
19670,9	1,0946E-10
19695,2	1,0837E-10
19719,5	1,05704E-10
19743,8	1,07907E-10
19768,1	1,05602E-10
19792,3	1,05462E-10
19816,6	1,07473E-10
19840,9	1,06166E-10
19865,3	1,0766E-10
19889,6	1,09933E-10
19913,9	1,09069E-10
19938,2	1,07846E-10
19962,5	1,07185E-10
19986,8	1,07732E-10
20011,1	1,07145E-10
20035,4	1,09191E-10
20059,7	1,08689E-10
20084	1,10109E-10
20108,3	1,07022E-10
20132,6	1,07668E-10
20156,9	1,11356E-10
20181,2	1,08129E-10
20205,4	1,07601E-10
20229,7	1,05732E-10
20254,1	1,07432E-10
20278,4	1,06847E-10
20302,7	1,11052E-10
20327	1,11522E-10
20351,3	1,08541E-10
20375,6	1,07227E-10
20399,9	1,05264E-10
20424,2	1,03832E-10
20448,4	1,06076E-10
20472,8	1,08566E-10
20497,1	1,07546E-10
20521,4	1,10159E-10
20545,7	1,0817E-10
20570	1,07547E-10
20594,2	1,05941E-10
20618,5	1,09452E-10
20642,8	1,05659E-10
20667,2	1,06435E-10
20691,5	1,07268E-10
20715,8	1,11204E-10
20740,1	1,10462E-10
20764,4	1,09279E-10
20788,7	1,05973E-10
20813	1,06062E-10
20837,3	1,06635E-10
20861,6	1,0642E-10
20885,9	1,074E-10
20910,2	1,07535E-10
20934,5	1,07241E-10
20958,8	1,07266E-10
20983,1	1,09864E-10
21007,3	1,07118E-10
21031,6	1,06106E-10
21055,9	1,09405E-10
21080,3	1,05901E-10
21104,6	1,05749E-10
21128,9	1,06547E-10
21153,2	1,06791E-10
21177,5	1,08121E-10
21201,8	1,0517E-10
21226,1	1,04757E-10
21250,4	1,07453E-10
21274,7	1,08623E-10
21299	1,05479E-10
21323,3	1,0727E-10
21347,6	1,06799E-10
21371,9	1,06778E-10
21396,2	1,09211E-10
21420,4	1,0485E-10
21444,7	1,04175E-10
21469,1	1,03955E-10
21493,4	1,03263E-10
21517,7	1,03593E-10
21542	1,01547E-10
21566,3	1,02032E-10
21590,6	1,02149E-10
21614,9	1,0336E-10
21639,2	1,01726E-10
21663,5	1,03818E-10
21687,8	1,04196E-10
21712,1	1,02369E-10
21736,4	9,9234E-11
21760,7	1,00284E-10
21785	1,01046E-10
21809,3	1,00628E-10
21833,5	9,9264E-11
21857,8	1,01036E-10
21882,2	9,8403E-11
21906,5	9,9674E-11
21930,8	1,03879E-10
21955,1	1,01785E-10
21979,4	1,00619E-10
22003,7	9,6804E-11
22028	1,01023E-10
22052,3	1,01157E-10
22076,6	9,8872E-11
22100,9	9,7145E-11
22125,2	9,9189E-11
22149,5	9,7925E-11
22173,8	9,6519E-11
22198,1	9,5929E-11
