E,eV	I,A
10280,3	2,9383E-10
10297,6	3,0515E-10
10315	2,5765E-10
10332,3	2,9263E-10
10349,6	2,8035E-10
10366,9	3,5931E-10
10384,2	2,7487E-10
10401,6	3,2097E-10
10418,9	3,0455E-10
10436,2	2,6741E-10
10453,5	2,3039E-10
10470,9	2,6254E-10
10488,2	2,9319E-10
10505,5	2,5608E-10
10522,8	2,9616E-10
10540,1	3,672E-10
10557,5	3,2221E-10
10574,8	3,5309E-10
10592,1	2,9072E-10
10609,4	3,0941E-10
10626,7	3,0869E-10
10644,1	2,8611E-10
10661,4	3,3552E-10
10678,7	3,4962E-10
10696	3,4187E-10
10713,4	3,7539E-10
10730,7	3,8429E-10
10748	3,5714E-10
10765,3	3,9042E-10
10782,6	3,336E-10
10800	2,7354E-10
10817,3	2,5372E-10
10834,6	2,4538E-10
10851,9	1,02074E-10
10869,3	1,42043E-10
10886,6	1,19671E-10
10903,9	8,9784E-11
10921,2	5,8774E-11
10938,5	3,6946E-11
10955,9	2,929E-11
10973,2	1,01621E-11
10990,5	9,3967E-12
11007,8	5,7287E-12
11025,1	4,945E-12
11042,5	4,0929E-12
11059,8	3,781E-12
11077,1	3,194E-12
11094,4	3,083E-12
11111,8	3,5011E-12
11129,1	3,0169E-12
11146,4	2,6588E-12
11163,7	2,9955E-12
11181	2,7278E-12
11198,4	2,7838E-12
11215,7	2,8898E-12
11233	2,6492E-12
11250,3	2,8718E-12
11267,6	2,5544E-12
11285	2,6967E-12
11302,3	2,5699E-12
11319,6	2,7174E-12
11336,9	2,7274E-12
11354,3	2,4948E-12
11371,6	2,6176E-12
11388,9	2,5113E-12
11406,2	2,4312E-12
11423,5	3,3195E-12
11440,9	2,4665E-12
11458,2	3,1299E-12
11475,5	2,7181E-12
