E,eV	N,part
10920	0
10930	0
10940	0
10950	0
10960	0
10970	0
10980	1
10990	0
11000	0
11010	0
11020	0
11030	1
11040	0
11050	0
11060	0
11070	0
11080	0
11090	0
11100	0
11110	0
11120	0
11130	0
11140	0
11150	0
11160	0
11170	0
11180	0
11190	0
11200	0
11210	0
11220	0
11230	0
11240	0
11250	0
11260	0
11270	0
11280	0
11290	0
11300	0
11310	0
11320	0
11330	0
11340	0
11350	0
11360	0
11370	1
11380	0
11390	0
11400	0
11410	0
11420	0
11430	0
11440	0
11450	1
11460	1
11470	0
11480	0
11490	1
11500	1
11510	0
11520	0
11530	0
11540	0
11550	0
11560	0
11570	0
11580	0
11590	0
11600	0
11610	0
11620	0
11630	0
11640	0
11650	0
11660	0
11670	0
11680	0
11690	0
11700	0
11710	0
11720	0
11730	1
11740	0
11750	0
11760	0
11770	0
11780	0
11790	0
11800	0
11810	0
11820	0
11830	0
11840	0
11850	0
11860	0
11870	0
11880	0
11890	0
11900	0
11910	0
11920	0
11930	0
11940	0
11950	0
11960	0
11970	0
11980	0
11990	0
12000	0
12010	0
12020	0
12030	0
12040	0
12050	0
12060	0
12070	0
12080	0
12090	0
12100	0
12110	0
12120	0
12130	0
12140	0
12150	0
12160	0
12170	0
12180	0
12190	1
12200	0
12210	0
12220	0
12230	0
12240	0
12250	0
12260	1
12270	0
12280	0
12290	0
12300	0
12310	0
12320	0
12330	0
12340	0
12350	0
12360	0
12370	0
12380	0
12390	0
12400	0
12410	0
12420	0
12430	0
12440	0
12450	0
12460	0
12470	0
12480	0
12490	0
12500	0
12510	0
12520	0
12530	1
12540	0
12550	0
12560	0
12570	0
12580	0
12590	0
12600	0
12610	0
12620	0
12630	0
12640	0
12650	0
12660	0
12670	0
12680	0
12690	1
12700	0
12710	0
12720	0
12730	1
12740	0
12750	0
12760	0
12770	0
12780	0
12790	0
12800	0
12810	0
12820	0
12830	0
12840	0
12850	0
12860	0
12870	0
12880	0
12890	0
12900	0
12910	0
12920	0
12930	0
12940	0
12950	1
12960	0
12970	0
12980	0
12990	0
13000	0
13010	0
13020	0
13030	0
13040	0
13050	0
13060	0
13070	0
13080	0
13090	1
13100	0
13110	0
13120	0
13130	0
13140	0
13150	0
13160	0
13170	0
13180	0
13190	0
13200	0
13210	0
13220	0
13230	0
13240	0
13250	0
13260	1
13270	0
13280	0
13290	0
13300	0
13310	0
13320	0
13330	0
13340	0
13350	0
13360	0
13370	0
13380	0
13390	0
13400	0
13410	0
13420	0
13430	1
13440	0
13450	1
13460	0
13470	0
13480	0
13490	0
13500	0
13510	0
13520	0
13530	0
13540	0
13550	0
13560	0
13570	0
13580	0
13590	0
13600	0
13610	0
13620	0
13630	0
13640	0
13650	0
13660	0
13670	0
13680	0
13690	0
13700	1
13710	0
13720	0
13730	0
13740	0
13750	0
13760	0
13770	0
13780	0
13790	0
13800	0
13810	0
13820	0
13830	0
13840	0
13850	0
13860	0
13870	0
13880	0
13890	0
13900	0
13910	0
13920	0
13930	0
13940	0
13950	0
13960	0
13970	1
13980	0
13990	0
14000	0
14010	0
14020	0
14030	0
14040	0
14050	0
14060	0
14070	0
14080	0
14090	0
14100	0
14110	0
14120	0
14130	0
14140	0
14150	0
14160	0
14170	0
14180	0
14190	0
14200	0
14210	0
14220	0
14230	0
14240	1
14250	0
14260	0
14270	0
14280	0
14290	0
14300	0
14310	0
14320	0
14330	0
14340	0
14350	0
14360	0
14370	0
14380	0
14390	0
14400	0
14410	0
14420	0
14430	0
14440	0
14450	0
14460	0
14470	0
14480	0
14490	0
14500	0
14510	0
14520	0
14530	0
14540	0
14550	0
14560	0
14570	0
14580	1
14590	0
14600	0
14610	0
14620	0
14630	0
14640	0
14650	0
14660	0
14670	0
14680	1
14690	0
14700	0
14710	0
14720	0
14730	0
14740	0
14750	0
14760	0
14770	0
14780	0
14790	0
14800	0
14810	0
14820	0
14830	0
14840	0
14850	0
14860	0
14870	0
14880	0
14890	0
14900	0
14910	0
14920	0
14930	0
14940	0
14950	0
14960	1
14970	0
14980	0
14990	0
15000	0
15010	1
15020	0
15030	0
15040	0
15050	0
15060	0
15070	2
15080	0
15090	0
15100	0
15110	0
15120	0
15130	0
15140	0
15150	0
15160	0
15170	0
15180	0
15190	0
15200	0
15210	0
15220	0
15230	0
15240	0
15250	0
15260	0
15270	0
15280	0
15290	0
15300	0
15310	0
15320	0
15330	1
15340	0
15350	0
15360	0
15370	0
15380	0
15390	1
15400	0
15410	0
15420	0
15430	0
15440	0
15450	0
15460	1
15470	0
15480	0
15490	0
15500	0
15510	0
15520	1
15530	0
15540	0
15550	0
15560	0
15570	0
15580	0
15590	0
15600	0
15610	0
15620	0
15630	0
15640	0
15650	0
15660	0
15670	0
15680	0
15690	0
15700	1
15710	0
15720	0
15730	0
15740	0
15750	0
15760	0
15770	1
15780	1
15790	0
15800	1
15810	0
15820	0
15830	0
15840	0
15850	0
15860	0
15870	1
15880	0
15890	0
15900	1
15910	0
15920	0
15930	1
15940	0
15950	0
15960	0
15970	0
15980	1
15990	0
16000	0
16010	0
16020	0
16030	1
16040	0
16050	0
16060	0
16070	0
16080	0
16090	0
16100	1
16110	0
16120	0
16130	0
16140	1
16150	0
16160	1
16170	0
16180	0
16190	0
16200	2
16210	0
16220	0
16230	0
16240	0
16250	0
16260	0
16270	0
16280	1
16290	0
16300	0
16310	0
16320	1
16330	1
16340	0
16350	1
16360	0
16370	0
16380	0
16390	0
16400	0
16410	0
16420	0
16430	1
16440	1
16450	0
16460	2
16470	0
16480	0
16490	0
16500	0
16510	1
16520	0
16530	0
16540	0
16550	0
16560	0
16570	0
16580	1
16590	1
16600	0
16610	0
16620	0
16630	0
16640	0
16650	0
16660	0
16670	0
16680	1
16690	0
16700	0
16710	0
16720	0
16730	0
16740	1
16750	0
16760	1
16770	0
16780	1
16790	0
16800	1
16810	1
16820	0
16830	0
16840	0
16850	1
16860	0
16870	0
16880	0
16890	0
16900	2
16910	0
16920	0
16930	1
16940	0
16950	2
16960	1
16970	1
16980	0
16990	1
17000	1
17010	0
17020	0
17030	0
17040	3
17050	0
17060	0
17070	0
17080	0
17090	1
17100	1
17110	0
17120	0
17130	0
17140	3
17150	1
17160	0
17170	2
17180	0
17190	1
17200	0
17210	0
17220	1
17230	1
17240	0
17250	0
17260	1
17270	2
17280	3
17290	1
17300	0
17310	0
17320	1
17330	3
17340	1
17350	3
17360	3
17370	0
17380	2
17390	1
17400	1
17410	2
17420	3
17430	1
17440	3
17450	3
17460	1
17470	0
17480	1
17490	1
17500	5
17510	1
17520	1
17530	0
17540	3
17550	2
17560	4
17570	2
17580	0
17590	2
17600	1
17610	3
17620	0
17630	3
17640	1
17650	2
17660	3
17670	2
17680	1
17690	2
17700	3
17710	0
17720	1
17730	2
17740	7
17750	5
17760	2
17770	1
17780	2
17790	2
17800	4
17810	4
17820	3
17830	0
17840	1
17850	1
17860	4
17870	2
17880	2
17890	4
17900	1
17910	3
17920	3
17930	3
17940	3
17950	1
17960	5
17970	4
17980	5
17990	9
18000	2
18010	3
18020	7
18030	3
18040	2
18050	1
18060	3
18070	3
18080	5
18090	4
18100	10
18110	4
18120	6
18130	2
18140	3
18150	6
18160	6
18170	9
18180	4
18190	6
18200	5
18210	4
18220	4
18230	5
18240	6
18250	7
18260	4
18270	6
18280	10
18290	9
18300	8
18310	10
18320	7
18330	12
18340	6
18350	8
18360	15
18370	16
18380	13
18390	10
18400	11
18410	12
18420	24
18430	11
18440	26
18450	19
18460	27
18470	20
18480	28
18490	26
18500	31
18510	31
18520	48
18530	55
18540	54
18550	86
18560	142
18570	335
18580	548
18590	618
18600	645
18610	652
18620	621
18630	686
18640	627
18650	683
18660	708
18670	682
18680	694
18690	694
18700	699
18710	706
18720	690
18730	712
18740	737
18750	698
18760	725
18770	713
18780	750
18790	575
18800	272
18810	69
18820	41
18830	32
18840	29
18850	19
18860	13
18870	26
18880	15
18890	11
18900	15
18910	8
18920	10
18930	10
18940	11
18950	11
18960	13
18970	8
18980	8
18990	6
19000	8
19010	10
19020	5
19030	4
19040	6
19050	3
19060	3
19070	3
19080	4
19090	7
19100	3
19110	9
19120	3
19130	6
19140	2
19150	3
19160	4
19170	4
19180	3
19190	4
19200	3
19210	4
19220	8
19230	6
19240	5
19250	4
19260	4
19270	2
19280	4
19290	5
19300	1
19310	0
19320	3
19330	4
19340	1
19350	0
19360	0
19370	0
19380	0
19390	0
19400	0
19410	0
19420	0
19430	0
19440	0
19450	0
19460	0
19470	0
19480	0
19490	0
19500	0
19510	0
19520	0
19530	0
19540	0
19550	0
19560	0
19570	0
19580	0
19590	0
19600	0
19610	0
19620	0
19630	0
19640	0
19650	0
19660	0
19670	0
19680	0
19690	0
19700	0
19710	0
19720	0
19730	0
19740	0
19750	0
19760	0
19770	0
19780	0
19790	0
19800	0
19810	0
19820	0
19830	0
19840	0
19850	0
19860	0
19870	0
19880	0
19890	0
19900	0
19910	0
19920	0
19930	0
19940	0
19950	0
19960	0
19970	0
19980	0
19990	0
20000	0
